rule_id,version,cue_family,pattern_type,pattern,fp_trap,authority_mode,gate,notes
reframe_001,2,reframe,regex,"(?i)\bit'?s\s+not\s+.{3,40}?\s*,?\s+it'?s\b",negation-then-pivot matches ordinary corrections ('it's not Tuesday it's Wednesday'),active,,Canonical X-not-Y; PROMOTED to active at CP3 (~65% precision); lazy quantifier so the trigger span does not over-extend across clauses
reframe_002,1,reframe,phrase,the real question is,cross-fires with question family,shadow,,KEPT SHADOW: fires on questions not reframes; reframe_v2b covers counter-narrative reveals
reframe_003,1,reframe,regex,(?i)\b(think\s+of\s+it\s+(as|like)|reframe\s+(this|that)|look\s+at\s+(this|it)\s+differently)\b,teaching-mode analogy that is not a market reframe,shadow,,~25% precision; kept shadow
reframe_004,1,reframe,regex,(?i)\bthe\s+(better|right|real)\s+(question|framing|way\s+to\s+(think|look))\s+is\b,cross-fires with question family when sentence ends with ?,shadow,,KEPT SHADOW: same cross-family issue as reframe_002
reframe_v2a,3,reframe,regex,"(?i)\bit'?s\s+not\s+(just|only|about|that|so\s+much)?\b.{2,45}?,?\s+it'?s\b",ordinary corrections without discourse pivot,active,,SPLIT from reframe_v2; refined X-not-Y with qualifier; PROMOTED to active (~65% precision)
reframe_v2b,3,reframe,regex,(?i)\bwhat\s+(people|founders|everyone)\s+(miss|get\s+wrong)\b,generic observation without counter-narrative,active,,SPLIT from reframe_v2; counter-narrative reveal; PROMOTED to active (~70% precision)
reframe_v2c,3,reframe,regex,(?i)\b(it\s+turns\s+out|the\s+reality\s+is|the\s+truth\s+is)\b,conversational filler without genuine reframe,shadow,,SPLIT from reframe_v2; ~45-55% precision; kept shadow. CUT 'but actually' (~15%) and 'the real X is' (cross-family)
example_001,1,example,regex,(?i)\bfor\s+(example|instance)\b,routine discourse marker with no claim payload,shadow,,KEPT SHADOW: a ~79% confirm reading suggested promotion, but that was a prompt-coverage artifact (the judge had no example definition and rubber-stamped). Judged against a proper definition it confirms ~38%, below the bar. Promote only with a content-length filter.
example_002,1,example,phrase,take X -- they,anaphoric reference requires resolved antecedent,shadow,,ASR name-mangling may break gazetteer match; demoted pending eyeball
example_004,1,example,regex,(?i)\b(think\s+about\s+compan(y|ies)\s+like|look\s+at\s+what\s+[a-z]+\s+is\s+doing)\b,name-dropping without substantive example content,shadow,,Useful only when gazetteer hit co-fires; demoted pending eyeball
advice_001a,2,advice,regex,(?i)^(?!.*\?\s*$).*\byou\s+should\s+\w,generic imperative in Q&A context,active,,SPLIT from advice_001; 'you should' highest precision variant; question-terminal filter added
advice_001b,2,advice,regex,(?i)^(?!.*\?\s*$).*\byou\s+(need\s+to|have\s+to)\s+(?!(tell\s+us|walk\s+us|speculate|guess))\w,reported or quoted speech and interviewer prompts,active,,SPLIT from advice_001; negative lookahead narrowed to interviewer-only verbs (removed talk-to/share which dropped real advice)
advice_001c,2,advice,regex,(?i)\byou\s+(want\s+to|must)\s+\w,interviewer turn-taking and floor-management rather than advice,shadow,,DEMOTED from active; ~25% confirm measured; 'you want to' is a weak deontic that mostly catches the moderator addressing panelists
advice_002,1,advice,phrase,the way to do this is,domain-agnostic procedural instruction,active,,Fires on logistics talk
advice_003,1,advice,regex,(?i)\b(my\s+advice\s+(is|would\s+be)|what\s+I\s+(tell|recommend))\b,personal anecdote advice with no generalisable claim,active,,First-person raises precision; strong signal at CP3
caveat_001,1,caveat,regex,(?i)\b(that\s+said|having\s+said\s+that|but\s+to\s+be\s+(fair|clear|honest))\b,discourse-transition filler without genuine caveat,shadow,,Common in panel speech; needs context window; shadow per CP1 freeze
caveat_002,2,caveat,regex,(?i)\b(the\s+(risk|danger|catch)\s+is|one\s+(caveat|concern)\s+is)\b,problem-description mistaken for epistemic hedge,shadow,,Trimmed: removed 'problem' and 'issue' (describe problems not caveats)
caveat_003,1,caveat,regex,(?i)\b(I\s+(worry|wonder)\s+(that|about|whether)|I'?m\s+not\s+sure\s+(that|whether))\b,polite hedge in Q&A without substantive uncertainty,shadow,,Fires on social politeness
caveat_v2a,3,caveat,regex,(?i)\b(be\s+careful|watch\s+out\s+for|you\s+(have\s+to|need\s+to)\s+be\s+(careful|thoughtful))\b,generic caution without substantive warning,active,,SPLIT from caveat_v2; PROMOTED to active (~60% precision)
caveat_v2b,3,caveat,regex,(?i)\bthe\s+(risk|danger|catch|downside|mistake|tricky\s+part|hard\s+part)\s+(is|here\s+is|though|that)\b,problem-description without epistemic hedge,shadow,,SPLIT from caveat_v2; trimmed (removed problem/challenge/issue)
caveat_v2c,3,caveat,regex,(?i)\b(it|that)\s+depends\b,social hedge without genuine caveat,shadow,,SPLIT from caveat_v2; ~10% precision; tracked separately
question_001,1,question,regex,(?i)\b(the\s+(key|real|open|hard)\s+question\s+is|what\s+I\s+keep\s+(asking|wondering)\s+is)\b,rhetorical setup the speaker immediately answers,active,,Specific enough to be active; LLM checks whether question left open
question_002,1,question,regex,"(?i)^[^.?!]{10,120}\?$",generic question incl. logistical/clarificatory,shadow,window_fallback,627-hit FP flood; throttled to gated window-fallback per CP1 freeze
question_003,1,question,phrase,who actually owns,ownership framing in legal/governance tangents,active,,Specific enough to be active; LLM checks open-question status
advice_mined_093534,1,advice,regex,(?i)\bmuch\s+as\s+you\s+can\b,mined surface cue,shadow,,flywheel r1 recall-gap mine: cue 'much as you can' recovers 4 lens-confirmed rule-missed spans (spec 0.6667). Shadow pending precision.
advice_mined_4c9c88,1,advice,regex,(?i)\bmake\s+sure\s+you\b,mined surface cue,active,,flywheel r1 recall-gap mine: cue 'make sure you' recovers 9 lens-confirmed rule-missed spans (spec 0.2903). Shadow pending precision. | flywheel r2: PROMOTED to active — judged 79% confirm over 29 new candidates.
advice_mined_956e3d,1,advice,regex,(?i)\bstart\s+with\s+a\b,mined surface cue,shadow,,flywheel r1 recall-gap mine: cue 'start with a' recovers 4 lens-confirmed rule-missed spans (spec 0.2857). Shadow pending precision.
advice_mined_8aca4c,1,advice,regex,(?i)\bfind\s+a\b,mined surface cue,shadow,,flywheel r1 recall-gap mine: cue 'find a' recovers 5 lens-confirmed rule-missed spans (spec 0.1429). Shadow pending precision.
advice_mined_c1c88d,1,advice,regex,(?i)\byour\s+organization\b,mined surface cue,shadow,,flywheel r1 recall-gap mine: cue 'your organization' recovers 4 lens-confirmed rule-missed spans (spec 0.1429). Shadow pending precision.
advice_mined_ecaa06,1,advice,regex,(?i)\bwhat\s+you\s+want\b,mined surface cue,shadow,,flywheel r1 recall-gap mine: cue 'what you want' recovers 4 lens-confirmed rule-missed spans (spec 0.1333). Shadow pending precision.
predictions_mined_3681ea,1,predictions,regex,(?i)\bgoing\s+to\s+see\b,mined forecast cue,shadow,,"flywheel r2 predictions BOOTSTRAP (greenfield, distant supervision): cue 'going to see' judged 42% confirm over 53 firings. High-recall lens-feeder (medium pairing): too low-precision to route active."
predictions_mined_f96c21,1,predictions,regex,(?i)\bgoing\s+to\s+be\s+a\b,mined forecast cue,shadow,,"flywheel r2 predictions BOOTSTRAP (greenfield, distant supervision): cue 'going to be a' judged 27% confirm over 75 firings. High-recall lens-feeder (medium pairing): too low-precision to route active."
predictions_mined_84492c,1,predictions,regex,(?i)\bi\s+think\s+it'?s\s+going\b,mined forecast cue,shadow,,"flywheel r2 predictions BOOTSTRAP (greenfield, distant supervision): cue 'i think it's going' judged 26% confirm over 23 firings. High-recall lens-feeder (medium pairing): too low-precision to route active."
